sequence_id,candidate_pairwise,candidate_top_rank,candidate_best_hit,reference_pairwise,reference_top_rank,reference_best_hit,identity30,cluster
seq0110,0.4603174603174603,0.0,0.0,0.4761904761904762,0.1111111111111111,0.0,seq0001,seq0001
seq0111,0.19047619047619047,0.0,0.0,0.12698412698412698,0.08333333333333333,0.0,seq0001,seq0001
seq0114,0.4338624338624338,0.4351851851851852,0.2222222222222222,0.6084656084656085,0.5185185185185185,0.3333333333333333,seq0005,seq0005
seq0116,0.5109713487071977,0.41,0.0,0.4415793151642208,0.33999999999999997,0.0,seq0006,seq0001
seq0117,0.5857142857142856,0.8571428571428571,0.0,0.5785714285714285,0.7428571428571428,0.0,seq0009,seq0005
seq0123,0.6203703703703703,0.7870370370370369,0.0,0.5981481481481481,0.8333333333333334,0.0,seq0024,seq0024
seq0124,0.7870370370370371,0.5555555555555555,0.16666666666666666,0.7148148148148148,0.4444444444444444,0.0,seq0005,seq0005
seq0126,0.8000000000000002,0.75,0.0,0.7083333333333334,0.6875,0.0,seq0005,seq0005
seq0129,0.6034523809523809,0.6916666666666667,0.5,0.5797222222222222,0.4333333333333333,0.15,seq0006,seq0001
seq0136,0.5892857142857143,0.5,0.0,0.6785714285714285,0.5714285714285714,0.0,seq0036,seq0001
seq0148,0.76,0.8,0.0,0.6666666666666666,0.8,0.0,seq0006,seq0001
seq0149,0.5709367967648498,0.4316017316017316,0.047619047619047616,0.5835167808382095,0.5458874458874459,0.16666666666666666,seq0024,seq0024
seq0150,0.6785714285714285,0.8571428571428571,0.0,0.6071428571428571,0.7857142857142857,0.0,seq0005,seq0005
seq0155,0.6407407407407407,0.7685185185185185,0.0,0.5537037037037037,0.6481481481481481,0.0,seq0036,seq0001
seq0178,0.3055555555555556,0.16666666666666666,0.0,0.30303030303030304,0.15151515151515152,0.0,seq0036,seq0001
seq0181,0.9249999999999999,0.8958333333333334,0.5833333333333334,0.8416666666666668,0.875,0.5,seq0036,seq0001
seq0182,0.5833333333333334,0.75,0.5,0.5499999999999999,0.65625,0.4583333333333333,seq0036,seq0001
seq0183,0.3891333203833203,0.24375,0.041666666666666664,0.43251154709488043,0.1708333333333333,0.0,seq0036,seq0001
seq0184,0.47685185185185186,0.611111111111111,0.38888888888888884,0.5092592592592593,0.5277777777777778,0.47222222222222215,seq0036,seq0001
seq0185,0.42777777777777776,0.20000000000000004,0.0,0.5499999999999999,0.5166666666666667,0.25,seq0036,seq0001
seq0188,0.7833333333333333,1.0,1.0,0.7166666666666667,0.9166666666666666,0.6666666666666666,seq0008,seq0008
seq0189,0.48263888888888884,0.3333333333333333,0.0,0.4824404761904762,0.3333333333333333,0.0,seq0024,seq0024
seq0193,0.5674603174603174,0.7777777777777778,0.6666666666666666,0.6031746031746031,0.8888888888888888,0.8333333333333334,seq0001,seq0001
seq0202,0.48333333333333334,0.6111111111111112,0.3333333333333333,0.5888888888888889,0.5555555555555555,0.3333333333333333,seq0005,seq0005
seq0207,0.734920634920635,0.7604166666666666,0.16666666666666666,0.7204906204906205,0.7604166666666666,0.16666666666666666,seq0005,seq0005
seq0212,0.4962121212121212,0.5136363636363637,0.0,0.4507575757575758,0.35454545454545455,0.0,seq0006,seq0001
seq0216,0.47575757575757577,0.6,0.0,0.4893939393939393,0.6,0.0,seq0024,seq0024
seq0224,0.2976190476190476,0.2638888888888889,0.0,0.3194444444444444,0.2638888888888889,0.0,seq0036,seq0001
seq0226,0.6708152958152959,0.7083333333333334,0.0,0.5966810966810967,0.7152777777777778,0.4166666666666667,seq0024,seq0024
seq0232,0.6,0.9814814814814815,0.8333333333333334,0.7333333333333334,0.9444444444444443,0.6666666666666666,seq0036,seq0001
seq0233,0.8500000000000001,0.875,0.6666666666666666,0.8250000000000001,0.875,0.5,seq0005,seq0005
seq0234,0.7222222222222222,0.9166666666666666,0.8333333333333334,0.6904761904761904,0.6666666666666666,0.3333333333333333,seq0024,seq0024
seq0235,0.7173907882241216,0.6145833333333334,0.25,0.8282051282051283,0.78125,0.19444444444444442,seq0036,seq0001
seq0236,0.8611111111111112,1.0,1.0,0.748611111111111,0.9,0.8333333333333334,seq0036,seq0001
seq0237,0.27777777777777773,0.32,0.03333333333333333,0.27777777777777773,0.38666666666666666,0.16666666666666666,seq0008,seq0008
seq0244,0.7134920634920635,0.861111111111111,0.5833333333333334,0.5730158730158731,0.7916666666666666,0.5,seq0024,seq0024
seq0245,0.6749999999999999,0.5208333333333334,0.0,0.65,0.5208333333333334,0.0,seq0024,seq0024
seq0259,0.9111111111111111,0.9375,1.0,0.9212962962962963,0.9375,1.0,seq0024,seq0024
seq0266,0.8055555555555557,1.0,1.0,0.888888888888889,0.9444444444444445,0.8333333333333334,seq0006,seq0001
seq0269,0.36052876776147214,0.2833333333333333,0.0,0.5450733752620546,0.4791666666666667,0.0,seq0005,seq0005
seq0273,0.47222222222222215,0.5555555555555555,0.0,0.7777777777777778,0.7222222222222222,0.16666666666666666,seq0036,seq0001
seq0287,0.33796296296296297,0.20833333333333334,0.0,0.47685185185185186,0.5416666666666666,0.0,seq0001,seq0001
seq0290,0.7,1.0,1.0,0.4333333333333333,0.4,0.0,seq0009,seq0005
